Website,IRS EIN,Facebook,Name,Address,Twitter,Phone Number,Email,Instagram
www.3daystartup.org,27-3279878,https://facebook.com/3daystartup,3 Day Startup,"701 Brazos St,Austin, Texas 78701",https://twitter.com/3daystartup.org,845-341-3199,shayna@3daystartup.org,https://instagram.com/3daystartup
www.ageofcentraltx.org,74-2431028,https://www.facebook.com/ageofcentraltx,AGE of Central Texas,"3710 Cedar Street Suite 100,Austin, Texas 78705",https://twitter.com/austinelderly,512-451-4611,lmcphail@ageofcentraltx.org,
www.abctx.org,77-0634034,https://www.facebook.com/AllBlindChildrenofTexas,All Blind Children of Texas,"1100 W. 45th Street,Austin,  78756",https://twitter.com/abctx1,512-206-9234,gloria@abctx.org,
www.aayhf.org,20-8592001,https://www.facebook.com/aayhf,African American Youth Harvest Foundation,"6633 Hwy 290 East,Austin, Texas 78723",https://twitter.com/AAYHF,512-428-4480,kwallace@aayhf.org,https://www.instagram.com/aayhf/
www.asaustin.org,74-2440845,https://www.facebook.com/AIDS.Services.of.Austin,AIDS Services of Austin,"P.O. Box 4874,Austin,  78765",https://twitter.com/asaustin,512-406-6114,christopher.alberts@asaustin.org,
www.austinadventurers.org,45-4299243,https://www.facebook.com/austinadventurers,Adventurers Academy of Lifelong Learning,"7106 Shadywood Drive,Austin,  78745",https://www.twitter.com/adventurersatx,737-203-5494,john@austinadventurers.org,
www.austingifted.org,74-2913554,https://www.facebook.com/pages/ACE-Academy/81873244273,ACE Academy,"3901 Shoal Creek Blvd,Austin, Texas 78756",https://twitter.com/austingifted,512-206-4070,emccracken@austingifted.org,
adoptionknowledge.org/,74-2610866,https://www.facebook.com/AdoptionKnowledgeAffiliates/,Adoption Knowledge Affiliates,"PO Box 4082,Austin,  78765",https://twitter.com/aka_tx,512-553-0252,aka@adoptionknowledge.org,
www.ahbcs.org,20-1508336,https://www.facebook.com/AHBSchool/,AHB Community School,"4001 Speedway,Austin, Texas 78751",,512-299-5487,mary@ahbcs.org,
www.ahaustin.org,74-3156314,https://www.facebook.com/accessiblehousingaustin?fref=ts,Accessible Housing Austin!,"1640-A E. 2nd Street,Austin, Texas 78702",,512-442-6680,isabelle.headrick@ahaustin.org,
anewentry.org,54-2167151,https://www.facebook.com/ANewEntry/,"A New Entry, Inc.","6633 E HWY 290, Suite 212,Austin,  78723",,512-464-1250,kali.gossett@anewentry.org,
alegacyofgiving.org,47-0975472,https://www.facebook.com/pages/A-Legacy-of-Giving/196768417093883,A Legacy of Giving,"1408 E. 13th Street,Austin,  78702",https://twitter.com/alegacyofgiving,512-815-3832,paula@alegacyofgiving.org,https://www.instagram.com/alegacyofgiving/
austin@austinaccess.org,74-2901176,https://www.facebook.com/accesstolearning?ref=bookmarks,"ACCESS to Learning, Inc","P.O.Box 66124,Austin,  78766-6124",https://twitter.com/access2learn2,512-799-3088,donnavliet@mac.com,
www.austinhistory.net,74-2177595,https://www.facebook.com/AustinHistoryCenterAssociation/,Austin History Center Association,"P.O. Box 2287,Austin,  78768",https://twitter.com/AustinTXHistory,512-270-0132,jcohen@austinhistory.net,
www.austinhumanesociety.org/,74-6013665,https://www.facebook.com/austinhumanesociety,Austin Humane Society,"124 W. Anderson Ln,Austin, Texas 78752",https://www.twitter.com/austinhumane,512-685-0128,development@austinhumanesociety.org,https://www.instagram.com/austin_humane/
www.aplusfcu.org/grants,87-0734659,,A+ Education Foundation,"P O BOX 14867,AUSTIN,  78761",,512-533-4390,educationfoundation@aplusfcu.org,
volente.org/amgc,74-6070510,https://Anderson Mill Garden Club,"Anderson Mill Memorial, Inc.","7602 Reed Drive,Volente, Texas 78641",,512-258-0773,rshull@austin.rr.com,
www.awfc.org,74-2811105,https://www.facebook.com/awfcrr,A World For Children ,"2007 Sam Bass Road,Round Rock, Texas 78681",,512-218-4400,lightm@awfc.org,
www.redcross.org/austin,53-0196605,https://www.facebook.com/RedCrossofCentralTexas,American Red Cross of Central Texas,"2218 Pershing Drive,Austin, Texas 78723",https://twitter.com/CenTexRedCross,512-928-4271,Lydia.Chambers@redcross.org,
www.austinastro.org/,74-2757050,https://www.facebook.com/groups/AustinAstronomicalSociety/,Austin Astronomical Society ,"P.O. Box 12831,Austin,  78711",https://twitter.com/austinastro,817-729-7254,treasurer@austinastro.org,
www.heart.org,13-5613797,https://www.facebook.com/ahaaustin,American Heart Association,"10900-B Stonelake Blvd.,Austin, Texas 78759",https://twitter.com/ahaaustin,512-338-3487,xiomara.sanchez@heart.org,
austin.amigosinternational.org,74-2303910,https://www.facebook.com/austinamigos,"Amigos de las Americas, Austin Chapter","10906 Country Knoll,Austin, Texas 78750",https://twitter.com/AustinAmigos,512-799-7548,info@austinamigos.org,
www.americanyouthworks.org,74-2197942,https://www.facebook.com/americanyouthworks?ref=hl,American YouthWorks,"1901 East Ben White Blvd.,Austin, Texas 78741",https://twitter.com/AmerYouthWorks,512-744-1900,ahill@americanyouthworks.org,
www.americangateways.org,74-2578266,https://www.facebook.com/americangateways,American Gateways,"314 East Highland Mall Blvd.,Austin, Texas 78752",https://www.twitter.com/AmerGateways,512-478-0546,RobertP@americangateways.org,
www.afsp.org/centraltexas,13-3393329,https://www.facebook.org/AFSPCentralTX,American Foundation for Suicide Prevention (Central Texas Chapter),"6800 West Gate Blvd., Suite 132, #557,Austin, Texas 78745",,512-905-1827,cidell@afsp.org,
,,https://www.facebook.com/AHBPA1/,,,https://twitter.com/ahbpa1?lang=en,,,https://www.instagram.com/ahbpa1/
www.refugeelink.com,26-3047598,https://www.facebook.com/amaanahrefugees,Amaanah Refugee Services,"500 E St Johns Ave, Suite 2.620,Austin, Texas 78752",https://@amaanahrefugees,713-409-8124,austin@refugeelink.com,https://amaanahRS
www.txalz.org,74-2286105,https://www.facebook.com/txalz,Alzheimer's Texas,"3520 Executive Center Drive, #140,Austin, Texas 78731",https://www.twitter.com/txalz,512-241-0420,cwells@txalz.org,
www.cancer.org,13-1788491,https://www.facebook.com/ACSCentralTexas,American Cancer Society,"11000 North MoPac Expressway, Suite 100,Austin, Texas 78759",https://twitter.com/AmericanCancer,512-919-1800,andrea.taurins@cancer.org,
www.amalafoundation.org,77-0631194,https://www.facebook.com/amalafoundation,Amala Foundation,"1006 South 8th St.,Austin, Texas 78704",https://www.twitter.com/amalafoundation,512-476-8884,info@amalafoundation.org,
allthingswildrehab.org,46-1309620,https://www.facebook.com/#!/pages/All-Things-Wild-Rehabilitation-Inc/427837627309289,All Things Wild Rehabilitation," PO Box 995,Georgetown,  78627",,512-897-0806,allthingswildrehab@gmail.com,https://www.instagram.com/allthingswildrehab/
www.atxkidsclub.org,46-5646482,https://www.facebook.com/atxkidsclub,ATX Kids Club,"3005 S. Lamar Blvd,Austin,  78704-4785",https://www.twitter.com/atxkids_club,512-234-5437,tammy@atxkidsclub.org,
www.aaul.org,74-1890518,https://www.facebook.com/austinarea.urbanleague,Austin Area Urban League,"8011 Cameron Road,Austin, Texas 78754",https://twitter.com/aaul1,512-478-7176,Teddy_mcdaniel@aaul.org,
www.alaustin.org,23-7307276,https://www.facebook.com/pages/Assistance-League-of-Austin/115350770338?ref=ts,Assistance League of Austin,"4901 Burnet Road,Austin, Texas 78756",https://twitter.com/alathrifthouse,512-458-3716,marketing_com@alaustin.org,
www.austinachieve.org ,27-3700807,https://www.facebook.com/AustinAchieve,Austin Achieve,"5908 Manor Road,Austin, Texas 78723",https://twitter.com/AustinAchievePS,512-522-4190,emorrison@austinachieve.org,
www.afssaustin.org,74-2675273,https://www.facebook.com/AFSSAustin,Asian Family Support Services of Austin,"PO Box 14234,Austin,  78761",https://www.twitter.com/AFSSAustin,512-949-5949,info@afssaustin.org,
www.alliesagainstslavery.org,46-4932633,https://www.facebook.com/allies.atx,Allies Against Slavery,"P.O. Box 684284,Austin,  78768",https://twitter.com/alliesatx,512-627-3749,info@alliesagainstslavery.org,
acmsaustin.org/,45-4295757,https://www.facebook.com/acmsaustin,Armstrong Community Music School,"404 Camp Craft Road,Austin, Texas 78746",https://twitter.com/ACMSAustin,512-474-2331,ctellman@acmsaustin.org,https://www.instagram.com/armstrong_community_music_/
www.artallianceaustin.org,74-2538787,https://www.facebook.com/ArtAllianceAustin,Art Alliance Austin,"PO Box 5705,Austin,  78763",https://twitter.com/ArtAllianceATX,512-609-8587,kjantsch@artallianceaustin.org,https://instagram.com/ArtAllianceAustin
www.artfromthestreets.org,30-0705692,https://www.facebook.com/artfromthestreets?ref=hl,Art From The Streets,"P.O. Box 12473,Austin,  78711",https://twitter.com/AFTS,512-695-9977,learnmore@artfromthestreets.org,https://instagram.com/artfromthestreetsaustin/
austin.adl.org/,13-1818723,https://www.facebook.com/ADLAustin?ref=br_tf,Anti-Defamation League,"3305 Northland Drive,Austin, Texas 78731",https://twitter.com/ADLAustin,512-249-7960,aatlas@adl.org,
www.thematernityhome.org,74-2936497,https://www.facebook.com/thematernityhome,Annunciation Maternity Home,"3610 Shell Road,Georgetown, Texas 78628",,512-864-7755,donate@thematernityhome.org,
www.annrichardsschool.org,26-4231160,https://www.facebook.com/ARSFoundation,Ann Richards School Foundation,"2206 Prather Lane,Austin, Texas 78704",https://twitter.com/AnnRichardsSF,512-841-4089,cgantt@annrichardsschool.org,
www.arfoundation.org ,20-0014500,https://www.facebook.com/thearfoundation/,Andy Roddick Foundation,"8509 FM 969 Bldg. 509,Austin, Texas 78724",https://twitter.com/theARFoundation,512-298-1951,heather@arfoundation.org,https://www.instagram.com/arfoundation/
austincreativereuse.org,27-1275644,https://www.facebook.com/pages/Austin-Creative-Reuse/126356630734413,Austin Creative Reuse,"6406 N.IH35 Suite 1801,Austin, Texas 78752",https://twitter.com/austinreuse,512-517-6041,info@austincreativereuse.org,
www.allgo.org,74-2495181,https://www.facebook.com/pages/allgo-qpoc/390844151024983,allgo,"701 Tillery St. Box 4,Austin,  78702",https://twitter.com/allgoqpoc,512-472-2001,priscilla@allgo.org,https://www.instagram.com/allgoqpoc/
www.anybabycan.org,74-2684335,https://www.facebook.com/anybabycan,Any Baby Can,"6207 Sheridan Avenue,Austin, Texas 78723",https://twitter.com/anybabycan,512-334-4452,johnb@anybabycan.org,
www.anthroposarts.org,74-2963791,https://www.facebook.com/AnthroposArts,Anthropos Arts,"P.O. Box 685000,Austin,  78768",https://twitter.com/AnthroposArts,512-233-0222,leya@anthroposarts.org,https://www.instagram.com/anthroposarts/
www.austincreativealliance.org,74-2140348,https://www.facebook.com/austincreativea,Austin Creative Alliance,"81 San Marcos,Austin, Texas 78702",https://twitter.com/AustinCreativeA,512-247-2531,membership@austincreativealliance.org,
www.austincommunitysteelband.org,27-0045723,https://www.facebook.com/austincommunitysteelband,Austin Community Steelband,"P.O. Box 3223,Austin,  78764",https://twitter.com/ATX_Steelband,512-473-8434,pan@austincommunitysteelband.org,
https://www.austinclassicalguitar.org/,74-2595883,https://www.facebook.com/AustinClassicalGuitar,Austin Classical Guitar,"PO Box 4072,Austin,  78765",https://twitter.com/AustinClassical,512-300-2247,james@austinclassicalguitar.org,
www.austinclubhouse.org,90-0505527,https://www.facebook.com/AustinClubhouse,Austin Clubhouse,"PO Box 300568,Austin ,  78703",https://twitter.com/austinclubhouse,512-415-5201,amanda@austinclubhouse.org,
www.austinchildrenschoir.org,74-2867871,https://www.facebook.com/AustinChildrensChoir,Austin Children's Choir,"P.O. Box 29452,Austin,  78755",https://twitter.com/austinchoir,512-921-4477,jpmendeziii@gmail.com,
www.texanscan.org/schools-and-programs/austin/,75-2251099,https://www.facebook.com/AustinCanAcademy,Austin Can Academy,"2406 Rosewood Avenue,Austin , Texas 78202",https://twitter.com/acantx,512-400-3313,atreat@texanscan.org,https://www.instagram.com/texanscan/
www.austinchildguidance.org,74-1166783,https://www.facebook.com/austinchildguidancecenter,Austin Child Guidance Center,"810 W. 45th St.,Austin, Texas 78751",https://twitter.com/AustinChildGuid,512-451-2242,rhanson@austinchildguidance.org,https://www.instagram.com/_acgc_/
www.austinchambermusic.org,74-2252691,https://www.facebook.com/pages/Austin-Chamber-Music-Center/337162005172,Austin Chamber Music Center,"7600 Burnet Rd., Suite 190,Austin, Texas 78757",https://twitter.com/Austin_Chamber,512-213-2585,peter@austinchambermusic.org,https://www.instagram.com/atxchambermusic/
www.atxbookarts.org,46-2328560,https://www.facebook.com/atxbookarts/,Austin Book Arts Center,"2832 E Martin Luther King Jr Blvd #114,Austin, Texas 78702",https://twitter.com/atxbookarts,512-417-5845,amanda@atxbookarts.org,https://www.instagram.com/atxbookarts/
www.austincivicorchestra.org,74-2119467,https://www.facebook.com/AustinCivicOrchestra,Austin Civic Orchestra,"PO Box 27132,Austin,  78655",https://www.twitter.com/ATXCivOrchestra,512-200-2261,Development@austincivicorchestra.org,https://www.instagram.com/explore/tags/austincivicorchestra/
www.austinhabitat.org,74-2373217,https://www.facebook.com/AustinHabitatforHumanity,Austin Habitat for Humanity,"500 W Ben White Blvd,Austin,  78704",https://twitter.com/austinhabitat,512-472-8788,bdavis@austinhabitat.org,https://www.instagram.com/austinhabitat/
austinbatcave.org,46-3593848,https://www.facebook.com/AustinBatCave,Austin Bat Cave,"PO Box 4762,Austin,  78765",https://twitter.com/austinbatcave,512-965-7075,tammy@austinbatcave.org,https://www.instagram.com/austinbatcave
www.austinbatrefuge.org,81-1326348,https://www.facebook.com/austinbat/,Austin Bat Refuge,"P.O. Box 49902,Austin,  78765",https://twitter.com/AustinBatRefuge,512-695-4116,info@austinbatrefuge.org,https://www.instagram.com/austinbatrefuge/
www.austinblades.org,47-1577846,https://www.facebook.com/austinbladessledhockey/,Austin Blades Sled Hockey Corp.,"2430 Madeline Loop,Cedar Park,  78613",https://twitter.com/MariBlair21,512-788-3611,mariblair@austinblades.org,
agsdr.org,74-3016602,https://www.facebook.com/atxgsdrescue/,Austin German Shepherd Rescue,"P.O. Box 339,Manor,  78653",https://twitter.com/atxgsdrescue,512-661-8981,agsdr2016@gmail.com,https://www.instagram.com/atxgsdrescue/
https://www.austinfilm.org,74-2433823,https://www.facebook.com/austinfilm,Austin Film Society,"1901 East 51 Street,Austin, Texas 78723",https://twitter.com/austinfilm,512-322-0145,afs@austinfilm.org,https://www.instagram.com/austinfilm
