Website,IRS EIN,Facebook,Name,Address,Twitter,Phone Number,Email,Instagram
www.austinpetsalive.org,74-2893360,https://www.facebook.com/austinpetsalive,Austin Pets Alive!,"1156 West Cesar Chavez,Austin, Texas 78703",https://twitter.com/austinpetsalive,512-961-6519,jackie.hyten@austinpetsalive.org,https://instagram.com/austinpetsalive
www.austininconnection.org,26-1734724,https://www.facebook.com/austininconnection/,Austin IN Connection,"PO Box 10724,Austin, Texas 78766",,512-461-0239,info@austininconnection.org,
www.austinpathways.org,27-2133452,https://www.facebook.com/AustinPathways,Austin Pathways (HACA Scholarship Foundation),"1124 S. IH-35,Austin, Texas 78704",https://twitter.com/austinpathways,512-477-4488,catherinec@austinpathways.org,
www.apacademy.org,74-2858317,https://facebook.com/austinpeaceacademy,Austin Peace Academy,"5110 Manor Rd.,Austin, Texas 78723",https://twitter.com/txpeaceacademy,512-926-1737,lzohny@apacademy.org,
www.austinpartners.org,20-1024501,https://www.facebook.com/AustinPartnersInEducation,Austin Partners in Education,"P.O. Box 6118,Austin,  78762",https://twitter.com/AustinPartners,512-637-0900,development@austinpartners.org,
www.austinplayhouse.com,74-2971705,https://www.facebook.com/austinplayhouse,Austin Playhouse,"P.O. Box 50533,Austin,  78763",https://www.twitter.com/austinplayhouse,512-476-0084,development@austinplayhouse.com,
www.austinparamedicfund.org,45-1673899,https://www.facebook.com/austinparamdeicreliefandcommunityoutreach/,Austin Paramedic Relief and Community Outreach,"5817 Wilcab Road Suite #3,Austin,  78721",,512-565-1886,treasurer@austinparamedics.org,
www.austinmusicfoundation.org,81-0561953,https://www.facebook.com/austinmusicfoundation,Austin Music Foundation,"PO Box 4309,Austin,  78765",https://twitter.com/austinmusic,512-542-0077,info@austinmusicfoundation.org,https://www.instagram.com/austinmusicfoundation/
austinparks.org,74-2648803,https://www.facebook.com/austinparksfoundation,Austin Parks Foundation,"507 Calles Street Suite 116,Austin, Texas 78702",https://twitter.com/austinparksfdn,512-477-1566,apf@austinparks.org,https://www.instagram.com/austinparksfdn/?hl=en
www.austinopera.org,74-2390496,https://www.facebook.com/AustinOpera,Austin Opera,"3009 Industrial Terrace,Austin, Texas 78758",https://twitter.com/AustinOpera,512-610-7672,amarshall@austinopera.org,
c3austin.org/,27-4445618,https://www.facebook.com/christiancompassioncenter,"Christian Compassion Center, Inc.","1415 RR 620 South,Austin, Texas 78734",https://twitter.com/C3AustinOrg,512-492-2195,mark@c3austin.org,
